Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Michael Penix Jr.,WASH,['QB'],['182'],['257'],['70.8'],"['2,576']",['10.0'],['57'],['20'],['5'],['4'],['176.8']
Jayden Daniels,LSU,['QB'],['163'],['223'],['73.1'],"['2,573']",['11.5'],['86'],['25'],['3'],['17'],['204.3']
Brayden Schager,HAW,['QB'],['217'],['342'],['63.5'],"['2,433']",['7.1'],['65'],['20'],['11'],['28'],['136.1']
Shedeur Sanders,COLO,['QB'],['219'],['303'],['72.3'],"['2,420']",['8.0'],['75'],['21'],['3'],['34'],['160.3']
Austin Reed,WKU,['QB'],['204'],['338'],['60.4'],"['2,280']",['6.7'],['70'],['20'],['5'],['4'],['133.6']
Caleb Williams,USC,['QB'],['166'],['237'],['70.0'],"['2,277']",['9.6'],['76'],['23'],['4'],['20'],['179.4']
Brady Cook,MIZ,['QB'],['169'],['242'],['69.8'],"['2,259']",['9.3'],['76'],['15'],['3'],['13'],['166.2']
Drake Maye,UNC,['QB'],['170'],['260'],['65.4'],"['2,249']",['8.6'],['77'],['14'],['5'],['18'],['152.0']
Cameron Ward,WSU,['QB'],['181'],['259'],['69.9'],"['2,217']",['8.6'],['63'],['15'],['3'],['19'],['158.6']
Brayden Fowler-Nicolosi,CSU,['QB'],['182'],['285'],['63.9'],"['2,179']",['7.6'],['76'],['15'],['11'],['8'],['137.7']
JT Daniels,RICE,['QB'],['155'],['243'],['63.8'],"['2,173']",['8.9'],['80'],['17'],['5'],['11'],['157.9']
Nicholas Vattiato,MTSU,['QB'],['201'],['295'],['68.1'],"['2,156']",['7.3'],['72'],['15'],['8'],['24'],['140.9']
Carson Beck,UGA,['QB'],['173'],['235'],['73.6'],"['2,147']",['9.1'],['54'],['12'],['4'],['5'],['163.8']
Dillon Gabriel,OU,['QB'],['166'],['233'],['71.2'],"['2,131']",['9.1'],['55'],['19'],['3'],['8'],['172.4']
Davis Brin,GASO,['QB'],['217'],['325'],['66.8'],"['2,122']",['6.5'],['68'],['14'],['11'],['15'],['129.1']
Bo Nix,ORE,['QB'],['182'],['232'],['78.4'],"['2,089']",['9.0'],['72'],['19'],['1'],['4'],['180.2']
Donovan Smith,HOU,['QB'],['177'],['265'],['66.8'],"['1,979']",['7.5'],['53'],['16'],['4'],['18'],['146.4']
Spencer Rattler,SC,['QB'],['165'],['233'],['70.8'],"['1,941']",['8.3'],['76'],['11'],['5'],['29'],['152.1']
TJ Finley,TXST,['QB'],['153'],['222'],['68.9'],"['1,941']",['8.7'],['89'],['14'],['3'],['15'],['160.5']
Kyle McCord,OSU,['QB'],['131'],['205'],['63.9'],"['1,937']",['9.4'],['75'],['12'],['1'],['9'],['161.6']
Taulia Tagovailoa,MD,['QB'],['159'],['249'],['63.9'],"['1,926']",['7.7'],['64'],['16'],['5'],['8'],['146.0']
Grayson McCall,CCU,['QB'],['151'],['224'],['67.4'],"['1,919']",['8.6'],['63'],['10'],['6'],['12'],['148.7']
Quinn Ewers,TEX,['QB'],['151'],['213'],['70.9'],"['1,915']",['9.0'],['51'],['13'],['3'],['17'],['163.7']
Jacob Zeno,UAB,['QB'],['189'],['254'],['74.4'],"['1,905']",['7.5'],['75'],['12'],['6'],['17'],['148.3']
Jack Plummer,LOU,['QB'],['132'],['208'],['63.5'],"['1,901']",['9.1'],['85'],['13'],['8'],['15'],['153.2']
Graham Mertz,FLA,['QB'],['170'],['223'],['76.2'],"['1,897']",['8.5'],['50'],['12'],['2'],['19'],['163.7']
Diego Pavia,NMSU,['QB'],['127'],['208'],['61.1'],"['1,896']",['9.1'],['80'],['17'],['5'],['15'],['159.8']
Byrum Brown,USF,['QB'],['163'],['267'],['61.0'],"['1,865']",['7.0'],['88'],['12'],['6'],['29'],['130.1']
Seth Henigan,MEM,['QB'],['163'],['246'],['66.3'],"['1,856']",['7.5'],['59'],['15'],['7'],['14'],['144.1']
Jaxson Dart,MISS,['QB'],['117'],['184'],['63.6'],"['1,840']",['10.0'],['68'],['13'],['3'],['16'],['167.6']
Sam Hartman,ND,['QB'],['131'],['203'],['64.5'],"['1,838']",['9.1'],['76'],['18'],['3'],['11'],['166.9']
Haynes King,GT,['QB'],['133'],['223'],['59.6'],"['1,835']",['8.2'],['55'],['17'],['9'],['7'],['145.8']
J.J. McCarthy,MICH,['QB'],['132'],['169'],['78.1'],"['1,799']",['10.6'],['54'],['18'],['3'],['8'],['199.1']
Joey Aguilar,APP,['QB'],['139'],['226'],['61.5'],"['1,782']",['7.9'],['69'],['16'],['5'],['4'],['146.7']
Carter Bradley,USA,['QB'],['138'],['205'],['67.3'],"['1,775']",['8.7'],['84'],['11'],['5'],['14'],['152.9']
Preston Stone,SMU,['QB'],['136'],['234'],['58.1'],"['1,767']",['7.6'],['91'],['16'],['5'],['8'],['139.8']
Gunnar Watson,TROY,['QB'],['123'],['207'],['59.4'],"['1,766']",['8.5'],['64'],['11'],['4'],['13'],['144.8']
Chandler Rogers,UNT,['QB'],['143'],['220'],['65.0'],"['1,762']",['8.0'],['80'],['14'],['1'],['14'],['152.4']
Jordan Travis,FSU,['QB'],['142'],['218'],['65.1'],"['1,750']",['8.0'],['58'],['15'],['2'],['8'],['153.4']
E.J. Warner,TEM,['QB'],['153'],['271'],['56.5'],"['1,741']",['6.4'],['46'],['12'],['5'],['5'],['121.3']
Chevan Cordeiro,SJSU,['QB'],['148'],['243'],['60.9'],"['1,738']",['7.2'],['63'],['11'],['3'],['15'],['133.5']
Tyler Van Dyke,MIA,['QB'],['129'],['183'],['70.5'],"['1,721']",['9.4'],['64'],['16'],['6'],['6'],['171.8']
Jordan McCloud,JMU,['QB'],['121'],['186'],['65.1'],"['1,696']",['9.1'],['74'],['15'],['4'],['9'],['164.0']
Mikey Keene,FRES,['QB'],['159'],['232'],['68.5'],"['1,692']",['7.3'],['65'],['15'],['4'],['15'],['147.7']
Cade Klubnik,CLEM,['QB'],['155'],['244'],['63.5'],"['1,684']",['6.9'],['69'],['13'],['3'],['14'],['136.6']
Cam Fancher,MRSH,['QB'],['161'],['239'],['67.4'],"['1,679']",['7.0'],['65'],['7'],['6'],['19'],['131.0']
Luke Altmyer,ILL,['QB'],['151'],['239'],['63.2'],"['1,671']",['7.0'],['49'],['10'],['9'],['29'],['128.2']
Keyone Jenkins,FIU,['QB'],['122'],['204'],['59.8'],"['1,664']",['8.2'],['64'],['6'],['7'],['26'],['131.2']
Kaidon Salter,LIB,['QB'],['98'],['167'],['58.7'],"['1,662']",['10.0'],['75'],['19'],['3'],['8'],['176.2']
Brett Gabbert,M-OH,['QB'],['111'],['187'],['59.4'],"['1,634']",['8.7'],['99'],['14'],['5'],['15'],['152.1']
Darren Grainger,GAST,['QB'],['130'],['187'],['69.5'],"['1,632']",['8.7'],['97'],['10'],['2'],['7'],['158.3']
Hudson Card,PUR,['QB'],['149'],['246'],['60.6'],"['1,617']",['6.6'],['84'],['7'],['5'],['17'],['121.1']
Jalen Milroe,ALA,['QB'],['99'],['153'],['64.7'],"['1,617']",['10.6'],['79'],['13'],['5'],['30'],['175.0']
DJ Uiagalelei,ORST,['QB'],['106'],['176'],['60.2'],"['1,573']",['8.9'],['75'],['15'],['4'],['6'],['158.9']
KJ Jefferson,ARK,['QB'],['143'],['219'],['65.3'],"['1,547']",['7.1'],['65'],['14'],['7'],['31'],['139.3']
Joe Milton III,TENN,['QB'],['140'],['223'],['62.8'],"['1,535']",['6.9'],['55'],['12'],['4'],['11'],['134.8']
Cole Snyder,BUFF,['QB'],['158'],['270'],['58.5'],"['1,532']",['5.7'],['51'],['12'],['7'],['12'],['115.7']
Kedon Slovis,BYU,['QB'],['128'],['226'],['56.6'],"['1,519']",['6.7'],['65'],['12'],['4'],['10'],['127.1']
Chandler Morris,TCU,['QB'],['131'],['199'],['65.8'],"['1,513']",['7.6'],['59'],['12'],['5'],['11'],['144.6']
Emory Jones,CIN,['QB'],['133'],['217'],['61.3'],"['1,484']",['6.8'],['49'],['13'],['8'],['14'],['131.1']
Will Howard,KSU,['QB'],['122'],['198'],['61.6'],"['1,464']",['7.4'],['61'],['12'],['7'],['8'],['136.7']
Rocco Becht,ISU,['QB'],['123'],['205'],['60.0'],"['1,464']",['7.1'],['75'],['12'],['5'],['4'],['134.4']
