Player,School,POS,REC,YDS,AVG,LNG,TD
Malik Nabers,LSU,['WR'],['56'],['981'],['17.5'],['51'],['9']
Luther Burden III,MIZ,['WR'],['61'],['905'],['14.8'],['56'],['6']
Caullin Lacy,USA,['WR'],['48'],['826'],['17.2'],['84'],['6']
Rome Odunze,WASH,['WR'],['45'],['818'],['18.2'],['50'],['6']
Malik Washington,UVA,['WR'],['56'],['783'],['14.0'],['63'],['6']
Troy Franklin,ORE,['WR'],['44'],['768'],['17.5'],['72'],['8']
Marvin Harrison Jr.,OSU,['WR'],['42'],['766'],['18.2'],['75'],['6']
Tory Horton,CSU,['WR'],['65'],['738'],['11.4'],['76'],['6']
Xavier Legette,SC,['WR'],['38'],['736'],['19.4'],['76'],['3']
Brian Thomas Jr.,LSU,['WR'],['42'],['732'],['17.4'],['86'],['11']
Kris Mitchell,FIU,['WR'],['43'],['711'],['16.5'],['64'],['5']
Jalen Royals,USU,['WR'],['43'],['707'],['16.4'],['71'],['10']
Steven McBride,HAW,['WR'],['40'],['701'],['17.5'],['65'],['8']
Ja'Lynn Polk,WASH,['WR'],['41'],['688'],['16.8'],['50'],['5']
Ja'Mori Maclin,UNT,['WR'],['33'],['658'],['19.9'],['80'],['9']
Malachi Corley,WKU,['WR'],['49'],['647'],['13.2'],['70'],['7']
Jamari Thrash,LOU,['WR'],['39'],['639'],['16.4'],['85'],['6']
Terrell Vaughn,USU,['WR'],['56'],['639'],['11.4'],['76'],['8']
Smoke Harris,LT,['WR'],['62'],['637'],['10.3'],['64'],['3']
LaJohntay Wester,FAU,['WR'],['66'],['636'],['9.6'],['40'],['3']
Xavier Weaver,COLO,['WR'],['50'],['631'],['12.6'],['48'],['4']
Samuel Brown,HOU,['WR'],['41'],['629'],['15.3'],['53'],['2']
Eric McAlister,BOIS,['WR'],['32'],['628'],['19.6'],['83'],['4']
Ricky Pearsall,FLA,['WR'],['44'],['619'],['14.1'],['50'],['3']
Luke McCaffrey,RICE,['WR'],['36'],['613'],['17.0'],['51'],['7']
Joey Hobert,TXST,['WR'],['48'],['612'],['12.8'],['83'],['6']
Tahj Washington,USC,['WR'],['30'],['609'],['20.3'],['76'],['5']
Xavier Restrepo,MIA,['WR'],['54'],['600'],['11.1'],['48'],['4']
Tetairoa McMillan,ARIZ,['WR'],['40'],['592'],['14.8'],['55'],['5']
