Player,School,POS,ATT,YDS,AVG,LNG,TD
Kimani Vidal,TROY,['RB'],['154'],['951'],['6.2'],['69'],['6']
Tahj Brooks,TTU,['RB'],['162'],['891'],['5.5'],['38'],['6']
Ashton Jeanty,BOIS,['RB'],['151'],['868'],['5.7'],['68'],['11']
Peny Boone,TOL,['RB'],['124'],['865'],['7.0'],['54'],['8']
Marcus Carroll,GAST,['RB'],['169'],['852'],['5.0'],['63'],['10']
Emani Bailey,TCU,['RB'],['146'],['851'],['5.8'],['74'],['2']
Jonathon Brooks,TEX,['RB'],['128'],['825'],['6.4'],['67'],['6']
Ollie Gordon II,OKST,['RB'],['116'],['816'],['7.0'],['71'],['8']
Cody Schrader,MIZ,['RB'],['140'],['807'],['5.8'],['52'],['9']
Quinton Cooley,LIB,['RB'],['139'],['802'],['5.8'],['32'],['7']
Audric Estime,ND,['RB'],['127'],['787'],['6.2'],['80'],['9']
Ray Davis,UK,['RB'],['111'],['781'],['7.0'],['75'],['8']
Omarion Hampton,UNC,['RB'],['131'],['770'],['5.9'],['68'],['8']
Kyle Monangai,RUTG,['RB'],['144'],['744'],['5.2'],['55'],['7']
Ismail Mahdi,TXST,['RB'],['98'],['726'],['7.4'],['65'],['8']
Braelon Allen,WIS,['RB'],['120'],['704'],['5.9'],['52'],['8']
Kay'Ron Lynch-Adams,MASS,['RB'],['144'],['692'],['4.8'],['47'],['6']
Antario Brown,NIU,['RB'],['115'],['676'],['5.9'],['80'],['6']
Damien Martinez,ORST,['RB'],['105'],['676'],['6.4'],['64'],['3']
Terion Stewart,BGSU,['RB'],['110'],['670'],['6.1'],['46'],['7']
Jawhar Jordan,LOU,['RB'],['89'],['661'],['7.4'],['74'],['8']
Devin Neal,KU,['RB'],['90'],['659'],['7.3'],['75'],['6']
Nate Noel,APP,['RB'],['124'],['652'],['5.3'],['68'],['4']
MarShawn Lloyd,USC,['RB'],['82'],['651'],['7.9'],['45'],['6']
Bucky Irving,ORE,['RB'],['87'],['649'],['7.5'],['56'],['7']
Rasheen Ali,MRSH,['RB'],['124'],['641'],['5.2'],['61'],['11']
Jalen Buckley,WMU,['RB'],['114'],['637'],['5.6'],['75'],['5']
Thomas Castellanos,BC,['QB'],['111'],['628'],['5.7'],['45'],['9']
DJ Giddens,KSU,['RB'],['103'],['626'],['6.1'],['43'],['5']
Makhi Hughes,TULN,['RB'],['118'],['619'],['5.2'],['31'],['5']
